velocity,x_direct,x_distance,y_direct,y_distance,d12,d23,d34,d45,d26,d67,d78,d215,d159,d910,d1011,d1512,d1213,d1314,type
23.171,2,3,2,2,31,0,10.63,21.932,0,21.932,32.985,25.298,17.889,28.018,32.016,21.932,39.408,40,long
50.963,2,4,2,2,22.627,8,25.298,7,10.63,8,7,17,21.932,32.016,23,16,24.352,21.932,smash
33.664,2,4,2,2,23.854,9.22,22.561,27.203,6.325,12.369,20.1,36.235,23.345,36.125,38.639,22.091,35.014,35.228,lob
70.775,2,3,2,2,15.033,16.279,18.868,17.029,13.601,13.342,11.402,22.204,15.232,24.839,23.537,22.204,21.213,29.833,smash
43.938,2,3,2,2,25.298,0,28.018,17.889,0,25.298,17.464,25.298,28.844,39.623,42.154,25.298,43.841,40,lob
81.477,2,3,2,2,23,16.553,17,17.889,16,16,8,16,24.042,25.298,27.459,24.352,24,24.352,smash
12.994,2,2,2,2,33.941,16,28.018,25.298,11.314,25.298,24.352,17.889,22.627,22.627,40.792,24.352,40,42.154,lob
16.305,3,4,2,2,28.018,8,17.889,17,0,23,24,21.932,21.932,24.352,39.205,28.302,39.812,34.886,netplay
14.717,2,2,2,2,25,10.63,17.889,21.932,16,17,8,17.889,16,21.932,24,21.932,32,16,netplay
12.503,3,2,3,1,20.125,21.84,22.825,21.633,12.042,19.026,17.72,29.967,18.028,29.275,27.659,27.857,26.173,30.887,netplay
17.818,3,1,3,1,25.298,16,17.889,11.314,7,25.298,32.016,16,17.889,15,25.298,17.464,24.352,8,lob
29.418,3,2,3,3,24.352,8,33.242,25.298,11.314,17.889,25.298,22.627,21.932,28.844,45.793,24.352,25.298,40,cut
25.318,2,2,3,2,17,16,11.314,11.314,7,16,0,16,17.889,21.932,24,17.464,24.352,11.314,lob
37.837,2,3,2,3,24,15,15,28.844,17.889,17,25.298,32,25,33.242,40.792,25.298,48,28.018,long
32.118,3,5,3,2,14.213,18.385,7.616,13.601,8.602,16.125,11.705,30.806,21.471,23.022,26.019,22.847,25.71,22.627,long
30.852,3,3,2,3,33.941,0,28.844,25.298,8,22.627,16,24.352,24,47.676,40.792,28.844,47,48.662,long
37.695,3,4,3,2,13.454,16.031,10.198,14.036,4,12.042,12,24.187,21.095,24.515,26.683,20.616,24.515,30.017,long
27.846,3,3,3,3,31,17,24,16,11.314,11.314,17,24,24.042,34.886,47.676,24.352,32.016,33.941,cut
20.571,3,2,3,2,28.018,0,15,22.627,0,15,22.627,17,22.627,34,22.627,17.889,24.352,16.553,lob
25.435,3,2,3,3,23,0,17.464,17.889,8,17.889,17,25.298,23,46.141,42.154,23,39.408,66.129,cut
4.169,2,1,3,2,14.56,10.296,18.028,20.616,24.083,14.866,11.18,26.683,17.804,18.358,24.698,18.439,21.471,12.728,netplay
15.951,2,2,2,2,28.018,8,16,28.302,11.314,17,11.314,22.627,17,39.812,33.242,23,34.886,33.242,lob
90.186,3,3,3,2,28.302,10.63,10.63,15,10.63,23,7,32.016,17.464,38.601,35.341,17.889,39.812,25,smash
17.64,3,3,3,3,28.018,0,17,17.889,7,16.553,16,21.213,17.889,23.087,35.777,8,21.213,24.352,netplay
25.219,3,3,3,2,25.298,17.889,8,24.352,7,16,24.352,24,25.298,17,11.314,25,34.886,32.985,lob
31.744,3,4,3,2,12.166,18.439,9.22,6.083,13,15,9.434,29.069,25.612,25.632,29.155,23.022,18,20.248,long
24.815,3,3,3,3,17,17.889,11.314,16.553,8,17.464,8,16,11.314,17,24.352,11.314,27.459,21.932,netplay
11.412,2,2,3,3,23,17,25.298,17.889,17.889,22.627,24.352,32,23,39.812,24.352,28.018,39,39.205,netplay
16.818,2,2,2,1,16,7,28.844,16,8,8,11.314,17.464,22.627,28.844,25.298,16,17,25.298,lob
7.115,2,2,2,2,24.352,16,21.932,23,7,17.889,10.63,17.889,24.352,23,31,24.352,23,39.812,netplay
5.112,2,2,2,3,32,16,25,16.553,11.314,24.352,17,32.016,17.889,32,38.601,16,40.792,39.812,netplay
21.366,2,1,2,2,24,15,24,8,17.889,17.464,17,24,17.464,40,25.298,17.889,32.985,24,lob
7.661,2,2,3,2,21.213,11.314,17.889,15,7,39.623,50.99,25,17,31,32.016,17,32.016,24.042,long
22.32,2,2,2,2,17,11.314,9.899,11.314,15,11.314,16.553,17,17.889,23,23,17.464,24.352,21.213,lob
76.776,2,2,2,3,22.091,20,22.472,26.627,16.125,26.683,17.72,33.541,26.926,31.385,41.34,29.206,37.59,33.971,drive
26.021,2,2,2,3,16,11.314,17.889,0,8,17,8,24,25.298,28.844,28.302,17.889,28.302,25.298,netplay
9.467,3,3,3,2,17.889,22.023,18.682,15.264,16.971,17.088,26.87,39.812,20.809,25.239,28.231,23.707,36.688,25.632,netplay
23.24,3,2,3,2,25.298,0,17.889,8,8,25.298,8,17.889,22.627,28.844,25.298,22.627,25.298,16,lob
46.33,3,2,3,3,31,8,34.438,23,11.314,17,54,31,17.889,21.213,42.154,24,17.464,11.314,drive
32.636,2,3,2,2,12.649,10.44,14.142,20.125,7.81,18.111,11,24.698,11.402,15.133,20.248,21.84,22.136,33.541,lob
75.605,2,3,2,2,21.26,14.866,22.361,17,17.72,14.036,16.763,30.806,31.828,36.125,30.017,27.203,25.807,37.537,smash
50.055,2,3,2,2,11.045,15,12.042,16.553,7.071,12.369,7.81,19.235,16.492,17.72,20.616,13.601,17.692,21.095,netplay
15.763,3,3,2,2,25.298,11.314,25.298,16,16,16,17.889,32.985,25.298,40.792,32.985,25.298,40,32,netplay
6.146,3,2,2,2,24.352,15,17.889,17.889,15,16,15,16,17,25,23,17,17.464,15,netplay
4.651,3,2,3,2,28.018,11.314,11.314,11.314,9.899,16,17,21.932,15,32.016,24.352,21.213,28.018,28.302,netplay
21.078,3,1,3,2,13.601,12.649,14.765,11.18,12.53,12.649,11.18,31.623,20.616,18.028,30.806,20.518,26.683,16.125,lob
30.312,3,2,2,2,17.263,12.207,29.833,28.302,19.698,18.028,10,43.658,28.32,15.652,34.438,22.472,27.785,16.763,long
57.949,3,2,3,3,21.378,19,24.413,22.561,12.369,18.111,18.028,36.77,18.868,29.732,37.59,18.439,23,37.656,cut
