velocity,x_direct,x_distance,y_direct,y_distance,x12,y12,x23,y23,x34,y34,x45,y45,x26,y26,x67,y67,x78,y78,x215,y215,x159,y159,x910,y910,x1011,y1011,x1512,y1512,x1213,y1213,x1314,y1314,type
42.206,3,2,3,2,-9,18,9,17,20,10,22,15,-12,-7,-22,-1,-23,5,-34,18,-6,18,27,12,5,34,-32,8,-21,22,-25,16,netplay
32.996,3,3,2,3,18,18,14,-3,15,-13,1,-19,-7,11,18,14,23,1,20,32,15,23,6,40,-24,39,-9,21,-2,43,-6,39,cut
12.894,2,2,2,2,9,14,-14,3,-4,16,-15,14,10,-8,19,3,11,11,9,8,-6,13,-16,3,-8,22,13,12,14,17,11,1,netplay
3.124,2,2,2,2,8,23,15,0,0,16,0,0,0,0,7,16,0,8,15,16,15,23,-15,39,30,16,7,23,-7,39,30,16,netplay
13.912,2,3,2,2,4,18,9,11,-4,20,-8,22,1,12,21,19,-11,16,11,46,-11,17,-20,23,-17,35,11,19,-5,36,31,9,long
29.384,3,3,3,2,0,32,8,8,8,31,16,24,-16,0,-16,16,-16,15,-8,24,0,23,24,24,8,39,-16,15,-24,40,-16,31,long
49.023,3,2,3,3,0,23,-16,8,-8,15,0,16,16,0,8,16,8,7,0,16,-8,15,-8,31,-16,15,8,15,8,31,8,23,cut
13.286,3,3,3,3,8,32,15,0,16,24,-8,16,-16,8,-23,8,8,-8,0,32,15,16,8,40,8,32,-8,16,-8,48,8,40,netplay
25.399,3,3,3,2,-8,15,-7,0,-16,16,-8,23,8,8,8,16,-8,7,-7,24,0,7,0,23,-16,8,7,15,8,15,0,16,lob
68.487,3,2,3,2,8,31,16,0,16,24,15,15,-15,8,-8,16,8,-8,8,24,8,23,-24,24,0,31,-8,23,-23,32,0,31,cut
22.772,3,3,3,3,0,16,-8,0,-8,16,-8,8,15,0,8,0,0,8,0,16,-8,16,8,24,8,16,8,16,0,24,7,8,netplay
6.317,2,2,2,2,8,32,15,0,8,23,16,8,-16,0,-8,23,-8,24,0,23,0,24,23,8,-8,31,-16,16,-8,24,-24,23,netplay
20.308,3,5,3,3,0,23,16,0,8,16,-8,0,-8,0,0,16,8,8,0,16,8,15,-16,24,16,-16,-8,15,0,24,0,0,lob
25.761,3,1,3,2,-16,15,0,0,-24,15,0,0,-8,-8,-8,23,0,0,-24,15,-8,0,16,23,8,23,0,0,16,23,0,23,lob
26.15,2,3,2,4,16,24,15,0,16,23,-16,8,-8,7,0,24,0,0,15,23,16,8,23,31,23,40,-8,16,-23,31,-8,40,cut
51.146,3,4,3,2,-15,10,-9,-6,-7,-18,2,-15,6,19,-10,13,-9,-9,-14,22,-10,18,-2,26,3,24,7,21,3,29,13,19,long
30.26,3,3,2,2,16,2,16,-11,-11,-28,-9,-25,7,12,14,0,12,-9,35,22,18,16,10,33,7,34,-6,19,-15,33,-16,26,long
38.448,2,4,2,2,-2,15,-14,0,-9,-12,-6,-9,7,12,-7,13,-4,-12,-9,22,-8,21,-1,17,-1,19,6,21,-5,26,16,18,long
23.171,2,3,2,2,31,0,0,0,-8,-7,-16,15,0,0,-16,-15,32,-8,8,24,8,16,-16,23,-31,8,15,16,32,23,0,40,long
50.963,2,4,2,2,-16,16,-8,0,8,-24,0,-7,8,7,8,0,7,0,-8,15,-15,16,-8,31,0,23,0,16,8,23,16,15,smash
33.664,2,4,2,2,13,20,9,2,-22,5,-26,8,-2,6,12,3,2,20,28,23,16,17,-36,3,-7,38,2,22,-1,35,29,20,lob
70.775,2,3,2,2,-1,15,-16,3,-16,-10,-11,-13,8,11,3,13,-11,-3,-3,22,-6,14,-16,19,-5,23,13,18,-3,21,19,23,smash
43.938,2,3,2,2,8,24,0,0,-23,16,-16,-8,0,0,24,8,7,16,8,24,16,24,7,39,39,16,8,24,-31,31,0,40,lob
81.477,2,3,2,2,0,23,-15,-7,-15,-8,-16,-8,16,0,0,16,0,-8,0,16,-7,23,-8,24,15,23,8,23,0,24,8,23,smash
12.994,2,2,2,2,24,24,-16,0,-23,16,-24,8,8,-8,24,-8,23,8,16,8,16,16,-16,16,-8,40,23,8,32,24,39,16,lob
16.305,3,4,2,2,16,23,-8,0,-16,8,-15,8,0,0,23,0,0,24,15,16,16,15,-23,8,-24,31,24,15,8,39,31,16,netplay
14.717,2,2,2,2,7,24,-7,8,-8,16,-15,16,16,0,15,8,8,0,8,16,0,16,-15,16,0,24,15,16,0,32,0,16,netplay
12.503,3,2,3,1,-18,9,6,21,11,20,18,12,-9,-8,-19,-1,-17,-5,-27,13,-10,15,29,-4,6,27,-26,10,-19,18,-27,15,netplay
17.818,3,1,3,1,8,24,-16,0,-8,16,8,-8,7,0,8,24,8,31,0,16,-8,16,0,15,-8,24,7,16,8,23,8,0,lob
29.418,3,2,3,3,-8,23,0,8,24,23,24,8,-8,-8,-16,8,-24,8,-16,16,-16,15,24,16,24,39,-8,23,-8,24,-40,0,cut
25.318,2,2,3,2,8,15,-16,0,-8,8,8,-8,7,0,0,16,0,0,0,16,-8,16,-16,15,0,24,7,16,8,23,8,8,lob
