hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,type
2,3,1,2,4,1,3,3,3,2,32.867,long
3,4,1,2,1,2,3,3,3,3,31.164,cut
3,1,2,2,1,2,2,2,3,3,14.314,netplay
3,1,2,3,4,1,2,2,3,1,20.97,lob
2,4,1,2,3,1,3,3,3,2,41.626,long
3,3,1,2,2,2,3,4,3,2,59.317,smash
3,2,2,3,1,2,3,3,3,3,15.629,netplay
2,1,2,3,1,2,2,2,2,2,15.17,netplay
2,1,2,2,4,1,3,2,2,2,15.671,lob
2,1,2,3,3,1,2,3,3,2,24.397,lob
2,3,1,2,3,1,3,2,3,2,39.96,long
3,2,2,3,2,2,3,3,3,3,17.404,netplay
