velocity,x_left_direct,x_left_distance,x_right_direct,x_right_distance,y_left_direct,y_left_distance,y_right_direct,y_right_distance,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,type
20.716,2,2,2,2,3,2,2,2,21,-10,29,14,13,22,5,29,-3,29,45,14,53,29,53,29,21,53,21,68,21,92,37,53,45,76,29,84,29,37,lob
30.361,2,3,3,3,2,3,2,3,74,-1,74,30,58,23,34,23,2,23,90,30,106,38,122,54,74,70,50,85,50,125,90,78,90,109,106,117,82,54,cut
24.406,3,2,3,2,3,2,2,3,89,5,80,18,81,31,86,40,91,50,76,14,71,7,68,0,49,44,65,51,77,79,62,46,47,56,25,58,61,32,lob
29.544,3,3,3,3,3,3,3,3,4,26,20,50,28,50,60,42,76,18,4,58,4,50,4,34,36,106,52,146,68,186,20,106,28,138,12,170,20,82,cut
27.331,2,2,2,2,3,3,3,3,18,12,29,26,16,30,14,43,11,57,42,18,52,7,61,2,28,42,15,48,13,67,48,37,50,56,59,56,37,34,lob
37.2,2,2,3,3,3,4,3,3,36,7,36,31,52,39,76,31,91,15,28,39,28,23,60,23,44,87,76,118,76,166,36,87,52,118,13,134,44,63,long
40.136,3,3,3,4,3,2,3,2,51,41,45,48,31,40,30,26,31,11,46,63,60,49,58,38,13,89,7,111,10,138,34,88,36,111,52,131,29,68,long
39.669,3,3,3,3,3,3,3,3,31,17,39,41,24,41,24,25,24,33,47,41,79,25,95,9,24,89,24,112,8,144,47,89,71,120,87,160,39,65,long
39.101,2,3,2,3,3,2,3,2,28,0,35,16,28,23,13,23,-10,23,43,23,51,31,66,39,35,55,20,62,13,86,43,55,43,86,73,86,35,39,cut
12.378,2,3,2,3,2,2,2,3,45,-7,53,25,45,17,30,17,14,9,53,25,61,41,45,49,53,73,30,89,22,129,68,73,61,113,92,137,53,49,netplay
6.406,2,2,2,2,2,2,2,2,23,10,38,28,21,34,21,51,8,66,44,18,55,10,72,9,37,47,21,55,25,70,55,44,57,55,73,59,44,39,netplay
31.24,2,2,2,2,2,1,2,2,16,-4,31,20,31,28,39,44,16,100,24,28,31,52,39,52,47,68,47,100,16,100,39,68,47,100,78,124,39,44,lob
53.879,3,5,3,5,3,2,2,2,24,4,24,21,10,30,9,46,17,58,40,27,47,39,50,32,16,61,12,81,8,102,35,61,40,79,45,92,28,48,cut
20.771,3,4,3,3,3,3,3,3,78,0,78,23,86,31,94,54,78,70,62,23,46,39,30,54,78,70,102,101,102,140,62,70,30,101,14,132,70,47,netplay
23.804,3,1,3,1,3,2,3,2,41,-10,33,14,17,22,10,38,-6,54,41,22,33,38,33,46,17,54,25,78,33,110,33,54,41,78,33,102,25,38,lob
41.998,3,3,3,3,3,4,3,3,64,-2,64,30,79,30,87,61,79,69,48,30,33,53,25,69,56,77,79,117,64,156,40,69,25,101,17,124,56,53,cut
22.471,3,2,3,2,3,2,3,2,28,0,28,24,12,24,4,39,-4,55,44,24,44,39,52,47,20,55,28,78,12,109,36,55,44,78,52,109,28,39,netplay
26.493,3,3,3,3,2,2,2,3,8,-8,23,16,31,16,54,40,39,40,15,24,15,32,15,40,39,56,23,87,15,111,39,56,47,95,78,119,31,40,lob
68.983,2,3,2,3,2,2,2,2,22,1,25,18,8,21,6,36,4,50,35,13,57,10,48,16,21,54,9,71,8,86,35,55,37,78,39,94,26,41,drive
45.075,2,3,2,3,2,2,2,2,35,-6,42,25,50,25,58,49,58,65,27,25,19,49,11,72,50,72,66,104,81,135,35,72,19,111,19,151,42,49,lob
22.679,3,5,3,5,3,2,3,1,77,12,61,20,53,20,46,36,46,52,61,20,53,36,69,44,22,36,22,59,7,83,30,36,22,59,53,83,38,28,cut
11.28,3,4,3,4,3,2,3,2,66,-7,58,16,74,32,66,55,66,70,51,16,27,24,11,32,51,55,66,86,74,109,35,55,19,86,19,116,51,39,netplay
16.561,2,1,2,1,3,2,3,2,-9,4,15,20,15,20,31,35,23,51,15,28,15,43,7,59,47,43,31,59,47,82,47,43,23,51,23,82,31,35,netplay
14.423,3,2,3,3,3,3,3,3,51,-1,51,23,67,31,74,54,90,70,36,31,20,46,20,62,44,78,74,109,67,148,28,78,44,101,13,125,44,54,long
28.4,2,3,2,3,2,3,2,4,2,6,25,22,41,22,56,30,56,38,17,30,33,46,41,62,64,46,88,78,111,110,49,54,25,86,17,126,41,38,cut
23.105,2,3,2,3,3,2,3,2,22,-2,25,14,10,23,10,40,24,55,36,14,39,39,30,33,13,52,7,70,6,87,36,50,43,69,51,87,26,41,lob
31.65,3,3,3,3,3,3,3,3,37,0,37,31,52,31,60,54,68,70,21,31,13,46,6,54,52,78,60,116,60,155,29,78,13,109,6,140,37,54,long
34.497,3,3,3,3,3,2,3,2,58,2,50,26,66,34,58,50,58,58,43,26,27,26,4,26,50,66,66,89,58,121,35,66,19,105,35,129,50,42,long
27.051,3,1,3,2,3,2,3,2,55,-3,32,13,24,21,24,45,32,69,32,5,32,29,32,37,8,29,24,45,32,69,8,29,24,45,24,53,16,21,cut
7.671,2,2,2,2,3,3,3,3,29,0,37,24,53,32,53,39,37,47,29,32,21,63,5,55,60,79,68,118,84,142,45,79,29,118,37,157,45,55,netplay
15.887,2,2,2,2,2,1,2,2,29,-9,37,14,21,22,13,37,21,45,53,14,53,30,45,37,21,53,13,76,5,106,37,53,45,76,37,106,37,37,lob
6.968,2,2,2,2,2,1,2,2,20,-8,20,16,12,24,12,47,12,63,36,24,36,40,36,55,20,63,12,87,20,110,28,63,28,87,20,110,28,40,netplay
7.392,2,2,2,2,2,2,2,2,44,3,42,26,27,31,22,48,11,67,64,33,65,55,69,81,35,87,39,116,39,148,58,84,54,110,59,144,46,60,netplay
57.896,3,4,3,4,3,2,2,2,52,21,41,36,28,24,26,12,27,0,49,46,42,60,41,44,10,71,9,95,8,121,29,75,34,101,40,123,28,55,cut
35.163,3,3,3,3,2,2,2,2,45,-2,51,19,50,27,35,27,12,26,59,22,74,23,77,38,83,59,63,66,39,94,90,61,88,90,116,111,76,40,lob
25.726,2,3,2,3,2,2,2,2,29,2,29,18,21,18,6,26,-18,18,37,26,52,33,52,33,29,57,21,88,21,112,45,57,52,88,68,112,29,41,cut
4.578,2,3,2,3,2,2,2,2,12,-6,20,18,28,18,20,26,12,18,12,18,-3,10,5,18,36,57,20,88,28,120,20,57,20,88,28,120,20,41,netplay
62.318,3,3,3,3,3,3,3,3,8,62,24,75,40,72,54,45,67,21,17,94,26,90,18,68,61,134,73,175,56,206,39,136,34,172,26,211,43,112,cut
17.769,3,3,3,3,3,3,3,3,86,-1,70,14,78,22,94,30,110,38,62,14,46,14,30,22,46,45,38,68,6,76,54,45,70,53,78,76,62,30,netplay
32.405,3,3,3,3,3,2,3,2,57,3,49,27,64,35,57,51,49,59,41,19,26,27,10,35,49,67,64,83,64,115,33,67,18,107,33,123,49,43,lob
52.147,3,3,3,4,3,2,3,2,94,32,80,39,74,29,81,16,92,4,80,58,66,58,66,47,42,67,30,88,15,111,64,72,71,95,90,105,62,53,smash
36.017,3,3,3,3,3,2,3,2,78,2,70,26,86,34,86,50,86,50,54,26,31,42,23,34,62,74,86,105,117,137,46,66,23,97,7,129,62,50,lob
70.427,3,4,3,3,3,2,3,2,84,18,68,26,58,21,61,10,65,1,65,38,63,55,76,42,32,52,6,76,25,81,51,63,54,89,59,112,52,43,smash
42.206,3,2,3,2,3,2,3,2,138,16,129,34,138,51,158,61,180,76,117,27,95,26,72,31,89,70,116,82,121,116,63,60,42,82,17,98,95,52,netplay
32.996,2,3,3,3,2,3,2,3,-6,30,12,48,26,45,41,32,42,13,5,59,23,73,46,74,47,103,53,143,29,182,23,101,21,144,15,183,32,80,cut
12.894,2,2,2,2,2,2,2,2,30,0,39,14,25,17,21,33,6,47,49,6,68,9,79,20,42,35,26,38,18,60,61,34,75,51,86,52,48,22,netplay
3.124,2,2,2,2,2,2,2,2,6,-6,14,17,29,17,29,33,29,33,14,17,21,33,21,41,44,56,29,95,59,111,36,56,29,95,59,111,29,33,netplay
13.912,2,3,2,3,2,2,2,2,54,4,58,22,67,33,63,53,55,75,59,34,80,53,69,69,58,85,38,108,21,143,80,87,75,123,106,132,69,68,long
29.384,3,3,3,2,3,2,3,2,79,-7,79,25,87,33,95,64,111,88,63,25,47,41,31,56,71,72,95,96,103,135,55,64,31,104,15,135,71,49,long
49.023,3,2,3,2,3,3,3,3,37,-8,37,15,21,23,13,38,13,54,53,15,61,31,69,38,29,46,21,77,5,92,45,46,53,77,61,100,37,31,cut
13.286,3,3,3,3,3,3,3,3,26,-8,34,24,49,24,65,48,57,64,18,32,-5,40,3,32,49,72,57,112,65,144,26,72,18,120,26,160,34,56,netplay
25.399,3,3,3,3,3,2,3,2,44,0,36,15,29,15,13,31,5,54,44,23,52,39,44,46,29,46,29,69,13,77,36,54,44,69,44,85,29,39,lob
68.487,3,1,3,2,3,2,3,2,29,-6,37,25,53,25,69,49,84,64,22,33,14,49,22,41,53,72,29,96,29,127,37,72,14,104,14,135,45,49,cut
22.772,3,2,3,3,3,4,2,3,25,1,25,17,17,17,9,33,1,41,40,17,48,17,48,25,17,49,25,73,33,89,33,49,33,73,40,81,25,33,netplay
6.317,2,2,2,2,2,2,2,2,44,-8,52,24,67,24,75,47,91,55,36,24,28,47,20,71,52,71,75,79,67,110,36,63,28,87,4,110,52,47,netplay
20.308,3,5,3,4,3,3,3,3,25,0,25,23,41,23,49,39,41,39,17,23,17,39,25,47,33,54,17,78,33,62,17,54,17,78,17,78,25,39,lob
25.761,3,1,3,1,3,2,3,2,60,-3,44,12,44,12,20,27,20,27,36,4,28,27,28,27,12,27,28,50,36,73,20,27,36,50,36,73,20,27,lob
26.15,2,3,3,3,2,4,2,4,18,-3,34,21,49,21,65,44,49,52,26,28,26,52,26,52,65,52,88,83,111,123,41,60,18,91,10,131,49,44,cut
51.146,3,4,3,3,3,2,3,2,52,40,37,50,28,44,21,26,23,11,43,69,33,82,24,73,13,90,11,116,14,140,30,93,33,122,46,141,23,72,long
30.26,3,3,3,3,2,2,2,2,6,60,22,62,38,51,27,23,18,-2,29,74,43,74,55,65,75,100,85,133,92,167,51,103,36,136,20,162,57,84,long
38.448,2,4,2,3,2,2,2,2,28,1,26,16,12,16,3,4,-3,-5,33,28,26,41,22,29,9,59,8,76,7,95,23,59,18,85,34,103,17,38,long
